"population","year","sex","origin","fork_length","age_best","age_cwt","age_scale","age_key","age_length","prespawn"
"CAT",1991,"F","Nat",650,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Hat",780,4,NA,4,NA,4,"Spawned"
"CAT",1991,"M","Hat",850,5,NA,5,NA,5,NA
"CAT",1991,"M","Hat",820,5,NA,5,NA,5,NA
"CAT",1991,"F","Hat",740,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Nat",780,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Hat",755,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Hat",680,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Hat",690,4,NA,4,NA,4,"Spawned"
"CAT",1991,"M","Hat",450,3,NA,3,NA,3,NA
"CAT",1991,"F","Hat",710,4,NA,4,NA,4,"Spawned"
"CAT",1991,"Unk","Hat",NA,NA,NA,NA,NA,NA,NA
"CAT",1991,"Unk","Nat",NA,NA,NA,NA,NA,NA,NA
"CAT",1991,"F","Hat",685,4,NA,4,NA,4,"Spawned"
"CAT",1991,"F","Hat",660,4,NA,4,NA,4,"Spawned"
"CAT",1991,"M","Hat",800,4,NA,4,NA,5,NA
"CAT",1991,"M","Hat",770,4,NA,4,NA,4,NA
"CAT",1991,"F","Nat",600,4,NA,4,NA,4,"Spawned"
"LOS",1991,"F","Hat",880,5,NA,5,NA,5,"Spawned"
"LOS",1991,"F","Nat",860,5,NA,5,NA,5,"Spawned"
"LOS",1991,"M","Nat",830,4,NA,4,NA,4,NA
"LOS",1991,"F","Nat",900,5,NA,5,NA,5,"PreSpawn"
"LOS",1991,"M","Hat",890,5,NA,5,NA,5,NA
"LOS",1991,"F","Hat",650,4,NA,4,NA,4,"Spawned"
"LOS",1991,"F","Hat",870,5,NA,5,NA,5,"Spawned"
"LOS",1991,"M","Nat",920,5,NA,5,NA,5,NA
"LOS",1991,"F","Hat",820,4,NA,4,NA,4,"Spawned"
"LOS",1991,"M","Nat",820,5,NA,5,NA,4,NA
"LOS",1991,"M","Nat",920,5,NA,5,NA,5,NA
"LOS",1991,"F","Nat",880,5,NA,5,NA,5,"Spawned"
"LOS",1991,"M","Nat",900,5,NA,5,NA,5,NA
"LOS",1991,"F","Nat",850,5,NA,5,NA,5,"Spawned"
"LOS",1991,"M","Nat",950,5,NA,5,NA,5,NA
"LOS",1991,"F","Hat",840,5,NA,5,NA,4,"Spawned"
"LOS",1991,"F","Nat",830,5,NA,5,NA,4,"Spawned"
"LOS",1991,"F","Nat",690,4,NA,4,NA,4,"Spawned"
"LOS",1991,"F","Nat",720,4,NA,4,NA,4,"Spawned"
"LOS",1991,"M","Nat",940,5,NA,5,NA,5,NA
"LOS",1991,"F","Nat",890,5,NA,5,NA,5,"Spawned"
"LOS",1991,"M","Nat",940,5,NA,5,NA,5,NA
"LOS",1991,"F","Nat",830,4,NA,4,NA,4,"Spawned"
"LOS",1991,"M","Nat",1020,5,NA,5,NA,5,NA
"LOS",1991,"F","Hat",860,4,NA,4,NA,5,"PreSpawn"
"MIN",1991,"F","Nat",760,4,NA,4,NA,4,"Spawned"
"MIN",1991,"M","Nat",950,5,NA,5,NA,5,NA
"MIN",1991,"M","Hat",920,5,NA,5,NA,5,NA
"MIN",1991,"F","Hat",790,5,NA,5,NA,4,"Spawned"
"MIN",1991,"M","Nat",890,5,NA,5,NA,5,NA
"MIN",1991,"F","Nat",810,5,NA,5,NA,5,"Spawned"
"MIN",1991,"M","Nat",720,4,NA,4,NA,4,NA
"MIN",1991,"F","Nat",820,5,NA,5,NA,5,"Spawned"
"MIN",1991,"F","Hat",820,5,NA,5,NA,5,"Spawned"
"MIN",1991,"M","Nat",720,4,NA,4,NA,4,NA
"MIN",1991,"F","Hat",660,4,NA,4,NA,4,"Spawned"
"MIN",1991,"F","Hat",840,5,NA,5,NA,5,"Spawned"
"MIN",1991,"M","Nat",710,4,NA,4,NA,4,NA
"MIN",1991,"M","Hat",210,2,2,2,NA,NA,NA
"UGR",1991,"F","Nat",630,4,NA,4,NA,4,"Spawned"
"UGR",1991,"M","Nat",600,4,NA,4,NA,4,NA
"UGR",1991,"F","Nat",640,4,NA,4,NA,4,"Spawned"
"UGR",1991,"M","Hat",500,3,NA,3,NA,3,NA
"UGR",1991,"F","Nat",685,4,NA,4,NA,4,"Spawned"
"UGR",1991,"F","Nat",760,5,NA,5,NA,4,"Spawned"
"UGR",1991,"F","Nat",755,4,NA,4,NA,4,"Spawned"
"UGR",1991,"F","Hat",715,4,NA,4,NA,4,"Spawned"
"UGR",1991,"M","Nat",710,4,NA,4,NA,4,NA
"CAT",1992,"M","Hat",680,4,NA,4,NA,4,NA
"CAT",1992,"M","Nat",660,4,NA,4,NA,4,NA
"CAT",1992,"F","Hat",710,4,NA,4,NA,4,"Spawned"
"CAT",1992,"M","Hat",740,4,NA,4,NA,4,NA
"CAT",1992,"M","Nat",700,4,NA,4,NA,4,NA
"CAT",1992,"F","Hat",710,4,NA,4,NA,4,"Spawned"
"CAT",1992,"F","Hat",740,4,NA,4,NA,4,"Spawned"
"CAT",1992,"F","Hat",780,4,NA,4,NA,4,"Spawned"
"CAT",1992,"F","Nat",780,4,NA,4,NA,4,"Spawned"
"MIN",1992,"M","Hat",660,4,NA,4,NA,4,NA
"MIN",1992,"M","Nat",870,5,NA,5,NA,5,NA
"MIN",1992,"Unk","Hat",NA,4,NA,4,NA,NA,NA
"MIN",1992,"M","Nat",760,4,NA,4,NA,4,NA
"LOS",1992,"M","Hat",765,4,NA,4,NA,4,NA
"LOS",1992,"F","Hat",665,4,NA,4,NA,4,"Spawned"
"LOS",1992,"M","Hat",770,4,NA,4,NA,4,NA
"LOS",1992,"M","Nat",680,4,NA,4,NA,4,NA
"LOS",1992,"M","Hat",740,4,NA,4,NA,4,NA
"LOS",1992,"M","Unk",820,4,NA,4,NA,4,NA
"LOS",1992,"F","Hat",680,4,NA,4,NA,4,"Spawned"
"LOS",1992,"F","Hat",690,4,NA,4,NA,4,"PreSpawn"
"LOS",1992,"F","Hat",690,4,NA,4,NA,4,"Spawned"
"LOS",1992,"F","Nat",800,5,NA,5,NA,4,"Spawned"
"LOS",1992,"M","Hat",725,4,NA,4,NA,4,NA
"LOS",1992,"M","Hat",840,5,NA,5,NA,4,NA
"LOS",1992,"F","Hat",760,4,NA,4,NA,4,"Spawned"
"LOS",1992,"M","Nat",680,4,NA,4,NA,4,NA
"LOS",1992,"M","Unk",770,4,NA,4,NA,4,NA
"LOS",1992,"F","Hat",840,5,NA,5,NA,4,"Spawned"
"LOS",1992,"M","Unk",730,4,NA,4,NA,4,NA
"LOS",1992,"F","Hat",875,5,NA,5,NA,5,"Spawned"
"LOS",1992,"F","Hat",600,4,NA,4,NA,3,"Spawned"
"LOS",1992,"F","Unk",830,5,NA,5,NA,4,"Spawned"
"LOS",1992,"F","Hat",820,5,NA,5,NA,4,"Spawned"
"LOS",1992,"M","Nat",730,4,NA,4,NA,4,NA
"LOS",1992,"F","Nat",800,5,NA,5,NA,4,"Spawned"
"LOS",1992,"M","Nat",770,4,NA,4,NA,4,NA
"LOS",1992,"F","Hat",800,5,NA,5,NA,4,"Spawned"
"LOS",1992,"M","Hat",690,4,4,4,NA,4,NA
"LOS",1992,"F","Nat",760,4,NA,4,NA,4,"Spawned"
"LOS",1992,"F","Hat",670,4,NA,4,NA,4,"Spawned"
"LOS",1992,"F","Hat",725,4,NA,4,NA,4,"PreSpawn"
"LOS",1992,"F","Hat",760,4,NA,4,NA,4,"PreSpawn"
"MIN",1992,"F","Nat",880,5,NA,5,NA,5,"Spawned"
"MIN",1992,"F","Nat",740,4,NA,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",830,5,NA,5,NA,5,"Spawned"
"MIN",1992,"F","Hat",680,4,4,4,NA,4,"PreSpawn"
"MIN",1992,"M","Hat",700,4,NA,4,NA,4,NA
"MIN",1992,"M","Hat",750,4,NA,4,NA,4,NA
"MIN",1992,"M","Hat",750,4,NA,4,NA,4,NA
"MIN",1992,"M","Hat",695,4,4,4,NA,4,NA
"MIN",1992,"F","Hat",710,4,NA,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",780,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",660,4,NA,4,NA,4,"Spawned"
"MIN",1992,"M","Hat",775,4,NA,4,NA,4,NA
"MIN",1992,"F","Hat",800,5,NA,5,NA,5,"Spawned"
"MIN",1992,"F","Hat",770,4,4,4,NA,4,"PreSpawn"
"MIN",1992,"F","Nat",695,4,NA,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",695,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",780,4,NA,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",700,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Nat",650,4,NA,4,NA,4,"Spawned"
"MIN",1992,"M","Hat",770,4,NA,4,NA,4,NA
"MIN",1992,"F","Hat",795,5,NA,5,NA,4,"Spawned"
"MIN",1992,"F","Nat",760,5,NA,5,NA,4,"Spawned"
"MIN",1992,"F","Hat",685,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",725,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Hat",670,4,4,4,NA,4,"Spawned"
"MIN",1992,"F","Nat",765,5,NA,5,NA,4,"Spawned"
"MIN",1992,"F","Hat",630,4,4,4,NA,4,"Spawned"
