population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,1998,1998-06-13,1,F,Nat,844,passed,Adult,5,NA,NA,NA,5,FALSE,3ROP,L. side of mouth - piece of skin hanging; a little banged up under jaw
CAT,1998,1998-06-13,1,M,Nat,698,passed,Adult,4,NA,NA,NA,4,FALSE,3ROP,Little bit beaten up upper jaw; caudal torn some
CAT,1998,1998-06-13,1,M,Nat,890,passed,Adult,5,NA,NA,NA,5,FALSE,3ROP,Scratch on snout; old scar rt side of head
CAT,1998,1998-06-13,1,F,Nat,838,passed,Adult,5,NA,NA,NA,5,FALSE,3ROP,"Lower snout 1 1/2- 2"" skin peeled back"
CAT,1998,1998-06-18,1,F,Nat,844,removed,Adult,5,NA,NA,NA,5,FALSE,1ROP,Good shape; snout little cut
CAT,1998,1998-06-18,1,M,Nat,868,removed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Old 3 "" scar on belly; left scales missing"
CAT,1998,1998-06-18,1,M,Nat,778,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Old scars on snout; scratched; no marks
CAT,1998,1998-06-19,1,F,Nat,870,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,
CAT,1998,1998-06-20,1,F,Nat,800,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,
CAT,1998,1998-06-22,1,M,Nat,761,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Little banged up upper and lower jaw
CAT,1998,1998-06-22,1,M,Nat,895,removed,Adult,5,NA,NA,NA,5,FALSE,1ROP,Cut on upper caudal; a few scrapes (healed) on snout; dorsal shot squirted a lot
CAT,1998,1998-06-22,1,F,Nat,830,removed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Scrapes by eye, center head and underside of snout; bleeder after shot"
CAT,1998,1998-06-23,1,F,Nat,810,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Snout scrapes (uppper 1"" square); little cut on pelvic"
