"population","brood_year","mig_year","season","abund_est","abund_se","expansion_factor","abund_notes"
"CAT",1993,1995,"fall",8966,682.1,1,NA
"CAT",1993,1995,"spring",8667,804.6,1,NA
"CAT",1994,1996,"fall",4985,224.5,1,NA
"CAT",1994,1996,"spring",1872,269.9,1,NA
"CAT",1995,1997,"fall",4029,570.4,1,NA
"CAT",1995,1997,"spring",413,52.6,1,NA
"CAT",1996,1998,"fall",7058,581.6,1,NA
"CAT",1996,1998,"spring",2823,205.6,1,NA
"CAT",1997,1999,"fall",12887,1048.3,0.978260869565217,NA
"CAT",1997,1999,"spring",7875,581.5,0.978260869565217,NA
"CAT",1998,2000,"fall",19769,1100,1,NA
"CAT",1998,2000,"spring",4222,466.3,1,NA
"CAT",1999,2001,"fall",19996,1188.5,0.95,NA
"CAT",1999,2001,"spring",3095,299.7,0.95,NA
"CAT",2000,2002,"fall",27701,1898.8,0.764705882352941,NA
"CAT",2000,2002,"spring",2849,248.9,0.764705882352941,NA
"CAT",2001,2003,"fall",30217,1242.7,0.984962406015038,NA
"CAT",2001,2003,"spring",4934,538.2,0.984962406015038,NA
"CAT",2002,2004,"fall",54401,1961.6,0.987341772151899,NA
"CAT",2002,2004,"spring",10432,932.2,0.987341772151899,NA
"CAT",2003,2005,"fall",51244,3356.5,0.988023952095808,NA
"CAT",2003,2005,"spring",5533,867.5,0.988023952095808,NA
"CAT",2004,2006,"fall",23309,1133.8,0.979166666666667,NA
"CAT",2004,2006,"spring",4489,486.7,0.979166666666667,NA
"CAT",2005,2007,"fall",11240,413.2,0.972972972972973,NA
"CAT",2005,2007,"spring",2975,349.8,0.972972972972973,NA
"CAT",2006,2008,"fall",20859,882.4,0.982905982905983,NA
"CAT",2006,2008,"spring",5747,639,0.982905982905983,NA
"CAT",2007,2009,"fall",16735,1438,0.966101694915254,NA
"CAT",2007,2009,"spring",5233,701.3,0.966101694915254,NA
"CAT",2008,2010,"fall",32682,3275.8,0.99009900990099,NA
"CAT",2008,2010,"spring",11390,1689.2,0.99009900990099,NA
"CAT",2009,2011,"fall",8265,173.3,0.97752808988764,NA
"CAT",2009,2011,"spring",4619,551.7,0.97752808988764,NA
"CAT",2010,2012,"fall",37526,518.6,0.970108695652174,NA
"CAT",2010,2012,"spring",22720,1707.7,0.970108695652174,NA
"CAT",2011,2013,"fall",26393,1285.2,1,NA
