"fish_subset","population","brood_year","mig_year","season","n_length","n_pit","n_npt","len_mean","len_sd","len_min","len_max","jday_med","rkm_mean","notes"
"all","CAT",1993,1995,"fall",679,501,178,78.5832106038292,7.75995398452924,60,106,304,32,""
"all","CAT",1994,1996,"fall",719,511,208,89.4867872044506,6.69860756312374,66,116,296,32,""
"all","CAT",1995,1997,"fall",401,401,0,NA,NA,70,109,316,32,"NPT length data are missing; PIT data only."
"all","CAT",1996,1998,"fall",984,583,401,87.9044715447154,6.85283616503303,52,109,295,32,""
"all","CAT",1997,1999,"fall",1184,656,528,83.2246621621622,7.87079946686238,59,110,299,32,""
"all","CAT",1998,2000,"fall",1348,677,671,84.9836795252226,8.51705311281254,58,112,301,32,""
"all","CAT",1999,2001,"fall",1066,510,556,81.6941838649156,7.99297249671848,57,112,286.5,32,""
"all","CAT",2000,2002,"fall",780,514,266,80.7,7.92696119175302,58,124,283,32,""
"all","CAT",2001,2003,"fall",1065,849,216,79.4103286384976,7.60698669661132,46,103,287,32,""
"all","CAT",2002,2004,"fall",1189,522,667,72.0344827586207,8.16937628759773,45,119,287,32,""
"all","CAT",2003,2005,"fall",972,544,428,75.6985596707819,8.70814562286488,53,97,279,32,""
"all","CAT",2004,2006,"fall",650,500,150,79.7061538461539,8.72706109488175,56,117,285,32,""
"all","CAT",2005,2007,"fall",550,500,50,83.9490909090909,8.55844309265575,61,129,285,32,""
"all","CAT",2006,2008,"fall",559,499,60,78.5491949910555,8.22362157809805,57,103,292,32,""
"all","CAT",2007,2009,"fall",576,500,76,86.5607638888889,7.4338676531819,63,108,291,32,""
"all","CAT",2008,2010,"fall",1096,820,276,77.6870437956204,8.75843525681682,48,157,291,32,""
"all","CAT",2009,2011,"fall",1012,499,513,82.0415019762846,7.00107783965512,51,102,304,32,""
"all","CAT",2010,2012,"fall",1490,1151,339,79.6409395973154,8.13745672413986,57,108,298,32,""
"all","CAT",2011,2013,"fall",1788,1150,638,75.2354586129754,8.03482459204449,47,95,295,32,""
"all","CAT",2012,2014,"fall",1386,920,466,74.987012987013,9.40626437833138,49,124,289,32,""
"all","CAT",2013,2015,"fall",1178,703,475,75.3098471986418,8.49428343791375,54,102,289,32,""
"all","CAT",2014,2016,"fall",1098,699,399,72.6020036429873,8.13620803095948,49,104,288,32,""
"all","CAT",2015,2017,"fall",913,700,213,75.2343921139102,9.35893887885712,54,111,292,32,""
"all","CAT",2016,2018,"fall",1005,702,303,75.2606965174129,7.43589452606924,55,99,286,32,""
"all","CAT",2017,2019,"fall",710,700,10,83.6521126760563,8.17035404582401,60,105,302.5,32,""
"all","CAT",2018,2020,"fall",798,721,77,81.5187969924812,7.60136173208944,58,110,292,32,""
"all","CAT",2019,2021,"fall",1025,700,325,77.9482926829268,8.12513578685784,55,111,296,32,""
"all","CAT",2020,2022,"fall",1312,700,612,74.202743902439,8.27760481732402,54,103,286.5,32,""
"all","LOS",1995,1997,"fall",676,519,157,100.097633136095,9.09061838038558,78,128,327,3,""
"all","LOS",1996,1998,"fall",1323,498,825,96.9561602418745,8.14605040103356,61,123,305,3,""
"all","LOS",1997,1999,"fall",1355,501,854,94.8671586715867,9.88628432951839,47,141,305,3,""
"all","LOS",1998,2000,"fall",1158,514,644,96.0431778929188,10.3030083088417,63,127,306,3,""
"all","LOS",1999,2001,"fall",1129,499,630,95.2125775022143,8.18822137742807,67,134,291,3,""
"all","LOS",2000,2002,"fall",859,494,365,93.5739231664726,10.2663852706568,65,119,303,3,""
"all","LOS",2001,2003,"fall",1512,854,658,90.3187830687831,8.87788865978228,60,150,290,3,""
"all","LOS",2003,2005,"fall",1007,500,507,87.5779543197617,11.5698084590551,54,117,299,3,""
"all","LOS",2004,2006,"fall",907,495,412,86.2910694597574,10.3454225549052,59,120,303,3,""
"all","LOS",2005,2007,"fall",1121,499,622,83.721677074041,10.3353227214413,54,126,296,3,""
"all","LOS",2006,2008,"fall",499,499,0,91.3827655310621,8.86782594071362,62,132,296,3,""
"all","LOS",2007,2009,"fall",1036,500,536,84.1110038610039,10.4839529807416,53,120,297,3,""
"all","LOS",2008,2010,"fall",1477,1100,377,83.3222748815166,11.2768979004743,51,123,294,3,""
"all","LOS",2009,2011,"fall",1462,1079,383,87.6655266757866,8.77529364789285,58,121,305,3,""
"all","LOS",2010,2012,"fall",1900,1798,102,72.7594736842105,10.3721454125979,44,113,290,3,""
"all","LOS",2011,2013,"fall",2124,1160,964,80.225988700565,10.8998680979139,45,148,289,3,""
"all","LOS",2012,2014,"fall",1539,1181,358,82.9876543209877,9.93669053943652,51,125,288,3,""
"all","LOS",2013,2015,"fall",1394,1092,302,92.5796269727403,8.49067988698823,64,124,295,3,""
"all","LOS",2014,2016,"fall",1430,1183,247,85.3160839160839,10.1875048698054,53,127,291,3,""
"all","LOS",2015,2017,"fall",1065,919,146,90.2460093896714,9.65940392333021,58,126,284,3,""
"all","LOS",2016,2018,"fall",1689,1200,489,84.6654825340438,9.20584753994725,49,125,287,3,""
"all","LOS",2017,2019,"fall",1274,1175,99,88.894819466248,7.66153130305427,65,116,305,3,""
"all","LOS",2018,2020,"fall",1290,1200,90,84.3573643410853,8.53661192990882,56,125,304,3,""
"all","LOS",2019,2021,"fall",1357,1210,147,92.1260132645542,7.55449482973993,66,124,293,3,""
"all","LOS",2020,2022,"fall",1093,1085,8,87.416285452882,8.63810400309344,65,129,286,3,""
"all","MIN",1999,2001,"fall",514,297,217,85.4455252918288,9.27813404521391,57,115,297,0,""
"all","MIN",2000,2002,"fall",891,534,357,74.5622895622896,8.49291131574933,55,105,297,0,""
"all","MIN",2001,2003,"fall",937,849,88,78.923159018143,8.05406858545254,64,116,298,0,""
"all","MIN",2002,2004,"fall",766,500,266,72.7297650130548,7.85914074680192,54,102,303,0,""
"all","MIN",2003,2005,"fall",873,498,375,77.9599083619702,9.78176997505073,55,122,299,0,""
"all","MIN",2004,2006,"fall",903,499,404,78.4894795127353,10.2387058568143,50,118,296,0,""
"all","MIN",2005,2007,"fall",770,500,270,77.2701298701299,9.91641353818784,50,114,297,0,""
"all","MIN",2006,2008,"fall",501,500,1,80.3393213572854,8.65497722345489,56,103,289,0,""
"all","MIN",2007,2009,"fall",863,500,363,81.098493626883,8.92938448276076,58,115,301,0,""
"all","MIN",2008,2010,"fall",1239,945,294,74.6666666666667,8.18867442258748,51,104,288,0,""
"all","MIN",2009,2011,"fall",1072,932,140,81.0503731343284,8.2687852988306,52,120,304,0,""
"all","MIN",2010,2012,"fall",1463,1298,165,75.8106630211893,8.5610607033951,49,112,291,0,""
"all","MIN",2011,2013,"fall",2201,1205,996,73.6756019990913,9.85758544627508,43,118,292,0,""
"all","MIN",2012,2014,"fall",1326,1084,242,77.7254901960784,10.0906113071498,49,124,290,0,""
"all","MIN",2013,2015,"fall",1179,1093,86,80.0568278201866,8.85447296323991,48,125,295,0,""
"all","MIN",2014,2016,"fall",1509,1089,420,77.4353876739563,10.4124794508543,48,118,292,0,""
"all","MIN",2015,2017,"fall",1265,899,366,80.3802371541502,10.1149291972427,50,120,290,0,""
"all","MIN",2016,2018,"fall",1454,1100,354,77.9057771664374,8.17159784475526,50,108,289,0,""
"all","MIN",2017,2019,"fall",1197,1100,97,83.1954887218045,9.27191680127762,58,110,289,0,""
"all","MIN",2018,2020,"fall",1256,1148,108,81.2396496815287,8.74885834081324,54,118,295,0,""
"all","MIN",2019,2021,"fall",1194,1100,94,84.6398659966499,8.52348180878233,59,117,291,0,""
"all","MIN",2020,2022,"fall",1222,1099,123,80.0490998363339,9.17984180166184,51,111,299,0,""
"all","UGR",1992,1994,"fall",1450,402,1048,76.0503448275862,11.0836372668857,43,115,285,299,""
"all","UGR",1993,1995,"fall",1456,424,1032,77.7637362637363,11.9503763553361,51,143,284,257,"During mig_year 1995 the UGR trap was located at RKM 257 (just upstream of La Grande); 42 rkm below its standard location at RKM 299."
"all","UGR",1994,1996,"fall",9,4,5,NA,NA,80,102,279,299,"Short trap season; sample size insufficient to estimate population mean length."
"all","UGR",1995,1997,"fall",27,27,0,NA,NA,83,104,319,299,"Short trap season; sample size insufficient to estimate population mean length."
"all","UGR",1996,1998,"fall",650,592,58,81.9353846153846,11.0667735295412,59,115,303,299,""
"all","UGR",1997,1999,"fall",684,499,185,83.3786549707602,13.0587661700372,55,117,312,299,""
"all","UGR",1998,2000,"fall",754,492,262,80.5159151193634,10.6901494304512,56,117,303,299,""
"all","UGR",1999,2001,"fall",1,0,1,NA,NA,96,96,278,299,"Short trap season; sample size insufficient to estimate population mean length."
"all","UGR",2000,2002,"fall",345,344,1,78.2695652173913,6.31626049278686,62,115,302,299,""
"all","UGR",2001,2003,"fall",586,583,3,81.2627986348123,5.44239907667658,67,98,284,299,""
"all","UGR",2002,2004,"fall",184,179,5,78.5217391304348,5.12142880693185,67,111,290,299,""
