"pop","return_year","age","n_lengths","mean_length","fecundity"
"CAT",1991,4,11,702.7,3607
"CAT",1992,4,5,744,4006
"CAT",1993,4,1,730,3870
"CAT",1994,4,1,585,2468
"CAT",1995,4,3,706.7,3645
"CAT",1996,4,5,774,4296
"CAT",1997,4,18,705.7,3635
"CAT",1998,4,2,740,3967
"CAT",1999,4,11,725.7,3829
"CAT",2000,4,5,723.4,3806
"CAT",2001,4,63,703.1,3610
"CAT",2002,4,164,710.7,3683
"CAT",2003,4,144,727.1,3842
"CAT",2004,4,311,702,3599
"CAT",2005,4,76,709,3667
"CAT",2006,4,163,701.4,3594
"CAT",2007,4,99,717.1,3745
"CAT",2008,4,127,711.8,3694
"CAT",2009,4,127,724.8,3820
"CAT",2010,4,474,735.6,3924
"CAT",2011,4,384,733,3899
"CAT",2012,4,450,696.6,3548
"CAT",2013,4,223,689.5,3478
"CAT",2014,4,593,726.4,3835
"CAT",2015,4,337,717.7,3751
"CAT",2016,4,254,706.5,3643
"CAT",2017,4,97,699.5,3575
"CAT",2018,4,131,709.3,3670
"CAT",2019,4,171,689,3474
"CAT",2020,4,208,682.7,3413
"CAT",2021,4,356,699.6,3576
"CAT",2022,4,401,705.5,3634
"CAT",1991,5,NA,844.7,4979
"CAT",1992,5,NA,844.7,4979
"CAT",1993,5,13,864.6,5172
"CAT",1994,5,1,760,4160
"CAT",1995,5,NA,844.7,4979
"CAT",1996,5,NA,844.7,4979
"CAT",1997,5,2,830.5,4842
"CAT",1998,5,11,836.8,4903
"CAT",1999,5,NA,844.7,4979
"CAT",2000,5,2,815,4692
"CAT",2001,5,8,868.6,5210
"CAT",2002,5,10,862.5,5151
"CAT",2003,5,124,865.8,5183
"CAT",2004,5,7,856.9,5097
"CAT",2005,5,23,846.5,4996
"CAT",2006,5,8,822.6,4766
"CAT",2007,5,24,837,4904
"CAT",2008,5,9,826,4798
"CAT",2009,5,12,843.7,4969
"CAT",2010,5,2,844,4972
"CAT",2011,5,30,861.3,5140
"CAT",2012,5,43,845.5,4987
"CAT",2013,5,35,820.1,4741
