"population","year","origin","sex","age","count"
"CAT",2012,"Hat","F","4",14
"CAT",2012,"Hat","M","4",14
"CAT",2012,"Nat","F","4",7
"CAT",2012,"Nat","M","4",5
"LOS",2001,"Hat","F","4",32
"LOS",2001,"Hat","F","5",2
"LOS",2001,"Hat","M","3",2
"LOS",2001,"Hat","M","4",16
"LOS",2005,"Hat","F","4",29
"LOS",2005,"Hat","F","5",3
"LOS",2005,"Hat","M","3",1
"LOS",2005,"Hat","M","4",9
"LOS",2005,"Hat","M","5",4
"LOS",2006,"Hat","F","4",5
"LOS",2006,"Hat","M","4",5
"LOS",2008,"Hat","F","4",30
"LOS",2008,"Hat","F","5",1
"LOS",2008,"Hat","M","4",24
"LOS",2009,"Hat","F","3",1
"LOS",2009,"Hat","F","4",138
"LOS",2009,"Hat","F","5",6
"LOS",2009,"Hat","M","3",44
"LOS",2009,"Hat","M","4",92
"LOS",2009,"Hat","M","5",3
"LOS",2009,"Nat","F","4",17
"LOS",2009,"Nat","F","5",3
"LOS",2009,"Nat","M","3",1
"LOS",2009,"Nat","M","4",16
"LOS",2009,"Nat","M","5",2
"LOS",2010,"Hat","F","3",1
"LOS",2010,"Hat","F","4",223
"LOS",2010,"Hat","F","5",2
"LOS",2010,"Hat","M","3",44
"LOS",2010,"Hat","M","4",120
"LOS",2010,"Hat","M","5",11
"LOS",2010,"Nat","F","4",5
"LOS",2010,"Nat","M","4",7
"LOS",2011,"Hat","F","4",147
"LOS",2011,"Hat","F","5",11
"LOS",2011,"Hat","M","3",33
"LOS",2011,"Hat","M","4",100
"LOS",2011,"Hat","M","5",9
"LOS",2011,"Nat","F","4",19
"LOS",2011,"Nat","F","5",5
"LOS",2011,"Nat","M","3",36
"LOS",2011,"Nat","M","4",15
"LOS",2011,"Nat","M","5",3
"LOS",2012,"Hat","F","3",1
"LOS",2012,"Hat","F","4",18
"LOS",2012,"Hat","F","5",2
"LOS",2012,"Hat","M","3",3
"LOS",2012,"Hat","M","4",11
"LOS",2012,"Hat","M","5",1
"LOS",2012,"Nat","F","4",16
"LOS",2012,"Nat","F","5",2
"LOS",2012,"Nat","M","3",4
"LOS",2012,"Nat","M","4",17
"LOS",2012,"Nat","M","5",2
"LOS",2013,"Nat","M","4",1
"LOS",2014,"Hat","F","4",79
"LOS",2014,"Hat","M","3",86
"LOS",2014,"Hat","M","4",52
"LOS",2014,"Hat","M","5",2
"LOS",2014,"Nat","F","4",44
"LOS",2014,"Nat","F","5",1
"LOS",2014,"Nat","M","4",47
"LOS",2014,"Nat","M","5",3
"LOS",2015,"Hat","F","4",390
"LOS",2015,"Hat","F","5",9
"LOS",2015,"Hat","M","3",14
"LOS",2015,"Hat","M","4",284
"LOS",2015,"Hat","M","5",12
"LOS",2015,"Nat","F","4",24
"LOS",2015,"Nat","F","5",3
"LOS",2015,"Nat","M","4",28
"LOS",2015,"Nat","M","5",2
"LOS",2016,"Hat","F","4",62
"LOS",2016,"Hat","F","5",8
"LOS",2016,"Hat","M","3",4
"LOS",2016,"Hat","M","4",46
"LOS",2016,"Hat","M","5",11
"LOS",2016,"Nat","F","4",10
"LOS",2016,"Nat","F","5",2
"LOS",2016,"Nat","M","4",9
"LOS",2016,"Nat","M","5",2
"LOS",2017,"Hat","F","4",27
"LOS",2017,"Hat","F","5",1
"LOS",2017,"Hat","M","3",5
"LOS",2017,"Hat","M","4",19
"LOS",2017,"Hat","M","5",4
"LOS",2017,"Nat","F","4",4
"LOS",2017,"Nat","F","5",3
"LOS",2017,"Nat","M","4",4
"LOS",2017,"Nat","M","5",1
"LOS",2018,"Hat","F","4",41
"LOS",2018,"Hat","M","3",13
"LOS",2018,"Hat","M","4",38
"LOS",2018,"Hat","M","5",1
"LOS",2018,"Nat","F","4",5
"LOS",2018,"Nat","M","4",8
"LOS",2019,"Hat","F","4",1
"LOS",2019,"Hat","M","4",1
"LOS",2019,"Nat","F","4",1
"LOS",2019,"Nat","M","4",1
"LOS",2020,"Hat","F","4",18
"LOS",2020,"Hat","M","3",1
"LOS",2020,"Hat","M","4",13
"LOS",2020,"Nat","F","4",1
"LOS",2020,"Nat","M","4",1
"LOS",2021,"Hat","F","4",1
"LOS",2021,"Hat","M","4",1
"LOS",2021,"Nat","F","4",1
"LOS",2021,"Nat","M","4",1
"LOS",2022,"Hat","F","4",1
"LOS",2022,"Hat","M","4",1
"LOS",2022,"Nat","F","4",1
"LOS",2022,"Nat","M","4",1
"UGR",2010,"Hat","F","4",27
"UGR",2010,"Hat","M","3",1
"UGR",2010,"Hat","M","4",18
"UGR",2010,"Hat","M","5",2
"UGR",2010,"Nat","F","4",1
"UGR",2014,"Hat","F","4",6
"UGR",2014,"Hat","M","4",4
"UGR",2014,"Nat","F","4",1
"UGR",2014,"Nat","M","4",1
"UGR",2015,"Hat","F","4",8
"UGR",2015,"Hat","M","4",5
"UGR",2015,"Nat","F","4",1
"UGR",2015,"Nat","M","4",1
"UGR",2016,"Hat","F","4",2
"UGR",2017,"Hat","F","4",2
