"season","population","mig_year","n_tagged","surv_est","surv_ci_low","surv_ci_high","surv_se","surv_notes"
"fall","CAT",1995,502,0.238,0.193,0.297,NA,NA
"fall","CAT",1996,508,0.358,0.296,0.446,NA,NA
"fall","CAT",1997,399,0.365,0.256,0.588,NA,NA
"fall","CAT",1998,582,0.238,0.194,0.293,NA,NA
"fall","CAT",1999,644,0.202,0.166,0.25,NA,NA
"fall","CAT",2000,677,0.212,0.17,0.269,NA,NA
"fall","CAT",2001,508,0.13,0.103,0.162,NA,NA
"fall","CAT",2002,514,0.154,0.114,0.245,NA,NA
"fall","CAT",2003,849,0.12,0.093,0.16,NA,NA
"fall","CAT",2004,524,0.126,0.099,0.158,NA,NA
"fall","CAT",2005,544,0.122,0.093,0.161,NA,NA
"fall","CAT",2006,500,0.074,NA,NA,0.012,NA
"fall","CAT",2007,500,0.203,0.143,0.34,NA,NA
"fall","CAT",2008,499,0.153,0.109,0.256,NA,NA
"fall","CAT",2009,500,0.269,0.214,0.324,NA,NA
"fall","CAT",2010,821,0.18,0.132,0.281,NA,NA
"fall","CAT",2011,499,0.156,0.12,0.207,NA,NA
"fall","CAT",2012,1153,0.188,0.155,0.232,NA,NA
"fall","CAT",2013,1151,0.101,0.071,0.172,NA,NA
"fall","CAT",2014,920,0.144,0.117,0.182,NA,NA
"fall","CAT",2015,704,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability."
"fall","CAT",2016,699,0.06,0.043,0.083,NA,NA
"fall","CAT",2017,700,0.147,0.099,0.266,NA,NA
"fall","CAT",2018,681,0.193,0.12,0.399,NA,NA
"fall","CAT",2019,700,0.123,0.083,0.212,NA,NA
"fall","CAT",2020,721,0.188,0.081,0.375,0.074,NA
"fall","CAT",2021,700,0.09,0.056,0.142,0.021,NA
"fall","CAT",2022,699,0.104,0.069,0.155,0.022,NA
"fall","LOS",1997,519,0.312,0.247,0.465,NA,NA
"fall","LOS",1998,500,0.448,0.391,0.514,NA,NA
"fall","LOS",1999,501,0.422,0.349,0.538,NA,NA
"fall","LOS",2000,514,0.317,0.267,0.38,NA,NA
"fall","LOS",2001,498,0.335,0.294,0.378,NA,NA
"fall","LOS",2002,500,0.326,0.258,0.455,NA,NA
"fall","LOS",2003,898,0.271,0.225,0.339,0.028,NA
"fall","LOS",2004,0,NA,NA,NA,NA,NA
"fall","LOS",2005,500,0.267,0.227,0.31,NA,NA
"fall","LOS",2006,495,0.269,0.207,0.406,NA,NA
"fall","LOS",2007,500,0.223,0.172,0.301,NA,NA
"fall","LOS",2008,499,0.265,0.221,0.317,NA,NA
"fall","LOS",2009,501,0.312,0.257,0.367,NA,NA
"fall","LOS",2010,1099,0.265,0.191,0.427,NA,NA
"fall","LOS",2011,1100,0.251,0.221,0.286,NA,NA
"fall","LOS",2012,1890,0.162,0.143,0.184,NA,NA
"fall","LOS",2013,1167,0.225,0.173,0.318,NA,NA
"fall","LOS",2014,1199,0.209,0.181,0.241,NA,NA
"fall","LOS",2015,1124,0.168,0.125,0.246,NA,NA
"fall","LOS",2016,1198,0.188,0.161,0.22,NA,NA
"fall","LOS",2017,919,0.246,0.213,0.286,NA,NA
"fall","LOS",2018,1144,0.238,0.193,0.308,NA,NA
"fall","LOS",2019,1197,0.267,0.225,0.325,NA,NA
"fall","LOS",2020,1200,0.24,0.181,0.312,0.033,NA
"fall","LOS",2021,1210,0.323,0.25,0.406,0.04,NA
"fall","LOS",2022,1174,0.258,0.18,0.357,0.045,NA
"fall","MIN",2001,300,0.427,0.371,0.485,NA,NA
"fall","MIN",2002,537,0.249,0.201,0.326,NA,NA
"fall","MIN",2003,849,0.238,0.199,0.292,NA,NA
"fall","MIN",2004,500,0.183,0.15,0.219,NA,NA
"fall","MIN",2005,498,0.293,0.253,0.337,NA,NA
"fall","MIN",2006,499,0.245,0.205,0.304,NA,NA
"fall","MIN",2007,500,0.25,0.186,0.368,NA,NA
"fall","MIN",2008,500,0.283,0.235,0.344,NA,NA
"fall","MIN",2009,500,0.387,0.333,0.442,NA,NA
"fall","MIN",2010,944,0.366,0.243,0.676,NA,NA
"fall","MIN",2011,932,0.286,0.254,0.32,NA,NA
"fall","MIN",2012,1299,0.225,0.196,0.259,NA,NA
"fall","MIN",2013,1205,0.185,0.158,0.221,NA,NA
"fall","MIN",2014,1084,0.227,0.198,0.259,NA,NA
"fall","MIN",2015,1093,0.199,0.143,0.307,NA,NA
"fall","MIN",2016,1090,0.185,0.158,0.217,NA,NA
"fall","MIN",2017,899,0.275,0.239,0.317,NA,NA
"fall","MIN",2018,1043,0.245,0.201,0.308,NA,NA
"fall","MIN",2019,1100,0.322,0.274,0.387,NA,NA
"fall","MIN",2020,1148,0.307,0.232,0.393,0.041,NA
"fall","MIN",2021,1100,0.315,0.258,0.378,0.031,NA
"fall","MIN",2022,1099,0.292,0.235,0.357,0.031,NA
"fall","UGR",1994,405,0.348,0.284,0.432,NA,NA
"fall","UGR",1995,424,0.228,0.184,0.281,NA,NA
"fall","UGR",1996,5,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability."
"fall","UGR",1997,27,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability."
"fall","UGR",1998,590,0.286,0.244,0.334,NA,NA
"fall","UGR",1999,498,0.269,0.229,0.315,NA,NA
"fall","UGR",2000,493,0.341,0.26,0.476,NA,NA
"fall","UGR",2001,0,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability, no fish were PIT-tagged in this season."
"fall","UGR",2002,344,0.308,0.198,0.653,NA,NA
"fall","UGR",2003,581,0.184,0.143,0.247,NA,NA
"fall","UGR",2004,180,0.164,0.114,0.225,NA,NA
"fall","UGR",2005,368,0.138,0.105,0.177,NA,NA
"fall","UGR",2006,521,0.171,0.136,0.232,NA,NA
"fall","UGR",2007,534,0.242,0.199,0.301,NA,NA
"fall","UGR",2008,159,0.338,0.257,0.45,NA,NA
"fall","UGR",2009,4,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability."
"fall","UGR",2010,485,0.209,0.162,0.275,NA,NA
"fall","UGR",2011,499,0.225,0.184,0.273,NA,NA
"fall","UGR",2012,606,0.196,0.16,0.239,NA,NA
"fall","UGR",2013,645,0.177,0.141,0.225,NA,NA
"fall","UGR",2014,636,0.201,0.165,0.245,NA,NA
"fall","UGR",2015,684,0.086,0.057,0.152,NA,NA
"fall","UGR",2016,699,0.12,0.09,0.163,NA,NA
"fall","UGR",2017,701,0.166,0.128,0.225,NA,NA
"fall","UGR",2018,651,0.175,0.139,0.23,NA,NA
"fall","UGR",2019,628,0.191,0.138,0.311,NA,NA
"fall","UGR",2020,700,0.317,0.138,0.573,0.117,NA
"fall","UGR",2021,23,NA,NA,NA,NA,"Data were insufficient to calculate a survival probability."
"fall","UGR",2022,589,0.237,0.177,0.311,0.034,NA
"spring","CAT",1995,348,0.506,0.441,0.578,NA,NA
"spring","CAT",1996,276,0.591,0.48,0.755,NA,NA
"spring","CAT",1997,81,0.413,0.292,0.58,NA,NA
"spring","CAT",1998,453,0.517,0.459,0.583,NA,NA
"spring","CAT",1999,502,0.448,0.379,0.545,NA,NA
"spring","CAT",2000,431,0.452,0.359,0.598,NA,NA
"spring","CAT",2001,328,0.376,0.322,0.433,NA,NA
"spring","CAT",2002,217,0.527,0.411,0.75,NA,NA
"spring","CAT",2003,535,0.365,0.312,0.431,NA,NA
"spring","CAT",2004,525,0.413,0.37,0.457,NA,NA
"spring","CAT",2005,410,0.445,0.366,0.569,NA,NA
"spring","CAT",2006,360,0.367,0.29,0.526,NA,NA
"spring","CAT",2007,363,0.31,0.25,0.402,NA,NA
"spring","CAT",2008,484,0.38,0.309,0.506,NA,NA
"spring","CAT",2009,498,0.491,0.379,0.604,NA,NA
"spring","CAT",2010,571,0.464,0.378,0.607,NA,NA
"spring","CAT",2011,430,0.422,0.347,0.535,NA,NA
"spring","CAT",2012,1033,0.302,0.254,0.37,NA,NA
"spring","CAT",2013,829,0.22,0.164,0.342,NA,NA
"spring","CAT",2014,764,0.34,0.293,0.398,NA,NA
"spring","CAT",2015,218,0.28,0.104,3.941,NA,NA
"spring","CAT",2016,462,0.183,0.129,0.289,NA,NA
"spring","CAT",2017,617,0.389,0.316,0.502,NA,NA
"spring","CAT",2018,613,0.371,0.305,0.476,NA,NA
"spring","CAT",2019,565,0.29,0.177,0.652,NA,NA
"spring","CAT",2020,322,0.398,0.255,0.56,0.08,NA
"spring","CAT",2021,604,0.283,0.191,0.398,0.053,NA
"spring","CAT",2022,700,0.31,0.25,0.377,0.033,NA
"spring","LOS",1997,475,0.769,0.63,1.009,NA,NA
"spring","LOS",1998,484,0.784,0.728,0.845,NA,NA
"spring","LOS",1999,599,0.744,0.664,0.857,NA,NA
"spring","LOS",2000,355,0.66,0.546,0.823,NA,NA
"spring","LOS",2001,442,0.695,0.648,0.741,NA,NA
"spring","LOS",2002,406,0.683,0.589,0.825,NA,NA
"spring","LOS",2003,527,0.509,0.44,0.6,0.039,NA
"spring","LOS",2004,0,NA,NA,NA,NA,NA
"spring","LOS",2005,464,0.552,0.503,0.602,NA,NA
"spring","LOS",2006,517,0.619,0.551,0.722,NA,NA
"spring","LOS",2007,505,0.589,0.508,0.706,NA,NA
"spring","LOS",2008,499,0.683,0.616,0.768,NA,NA
"spring","LOS",2009,593,0.692,0.617,0.766,NA,NA
"spring","LOS",2010,1099,0.679,0.589,0.807,NA,NA
"spring","LOS",2011,1751,0.583,0.549,0.621,NA,NA
"spring","LOS",2012,1848,0.55,0.515,0.589,NA,NA
"spring","LOS",2013,1237,0.552,0.495,0.625,NA,NA
"spring","LOS",2014,1153,0.52,0.482,0.563,NA,NA
"spring","LOS",2015,681,0.47,0.307,0.885,NA,NA
"spring","LOS",2016,891,0.516,0.472,0.565,NA,NA
"spring","LOS",2017,603,0.592,0.517,0.688,NA,NA
"spring","LOS",2018,703,0.515,0.459,0.584,NA,NA
"spring","LOS",2019,525,0.625,0.509,0.818,NA,NA
"spring","LOS",2020,944,0.544,0.44,0.645,0.053,NA
"spring","LOS",2021,574,0.639,0.466,0.782,0.083,NA
"spring","LOS",2022,1019,0.637,0.522,0.739,0.056,NA
"spring","MIN",2001,536,0.619,0.576,0.661,NA,NA
"spring","MIN",2002,382,0.532,0.465,0.644,NA,NA
"spring","MIN",2003,512,0.476,0.405,0.577,NA,NA
"spring","MIN",2004,412,0.53,0.48,0.58,NA,NA
"spring","MIN",2005,374,0.555,0.497,0.62,NA,NA
"spring","MIN",2006,401,0.543,0.482,0.63,NA,NA
"spring","MIN",2007,217,0.602,0.519,0.725,NA,NA
"spring","MIN",2008,496,0.623,0.554,0.71,NA,NA
"spring","MIN",2009,500,0.618,0.54,0.697,NA,NA
"spring","MIN",2010,1059,0.636,0.563,0.734,NA,NA
"spring","MIN",2011,1092,0.595,0.542,0.659,NA,NA
"spring","MIN",2012,1018,0.504,0.461,0.554,NA,NA
"spring","MIN",2013,761,0.634,0.559,0.734,NA,NA
"spring","MIN",2014,1103,0.573,0.532,0.62,NA,NA
"spring","MIN",2015,958,0.711,0.461,1.318,NA,NA
"spring","MIN",2016,747,0.464,0.421,0.511,NA,NA
"spring","MIN",2017,530,0.599,0.511,0.72,NA,NA
"spring","MIN",2018,646,0.546,0.494,0.605,NA,NA
"spring","MIN",2019,755,0.679,0.579,0.822,NA,NA
"spring","MIN",2020,896,0.504,0.423,0.584,0.041,NA
