"population","spawn_year","sex","origin","age_best","fork_length","weight","fecundity","disposition"
"CAT",2001,"F","Nat",4,720,4.5,2606,"KNS"
"CAT",2001,"F","Nat",4,723,3.70000004768372,4253,"S"
"CAT",2001,"F","Nat",4,675,4.59999990463257,4451,"S"
"CAT",2001,"F","Nat",4,765,3.40000009536743,3407,"S"
"CAT",2001,"F","Nat",4,680,3.28999996185303,3505,"S"
"CAT",2001,"F","Nat",4,745,4.65999984741211,4419,"S"
"CAT",2001,"F","Nat",4,712,3.71000003814697,4289,"S"
"CAT",2001,"F","Nat",4,732,4.26000022888184,3957,"S"
"CAT",2001,"F","Nat",4,725,3.89000010490417,3566,"S"
"CAT",2001,"F","Nat",4,725,4.26999998092651,4397,"S"
"CAT",2001,"F","Nat",4,635,2.67000007629395,4383,"S"
"CAT",2001,"F","Nat",4,718,4.05000019073486,4039,"S"
"CAT",2001,"F","Nat",4,739,4.46000003814697,3068,"S"
"CAT",2002,"F","Nat",4,723,9.30000019073486,3605,"S"
"CAT",2002,"F","Nat",4,760,10.1000003814697,4368,"S"
"CAT",2002,"F","Nat",4,724,8.60000038146973,4413,"S"
"CAT",2002,"F","Nat",4,735,10.3999996185303,3930,"S"
"CAT",2002,"F","Nat",4,644,6.19999980926514,2224,"S"
"CAT",2002,"F","Nat",4,718,9.30000019073486,3936,"S"
"CAT",2002,"F","Nat",4,734,9.19999980926514,4511,"S"
"CAT",2002,"F","Nat",4,730,8.89999961853027,4829,"S"
"CAT",2002,"F","Nat",4,758,9.89999961853027,3707,"S"
"CAT",2002,"F","Nat",4,748,9.80000019073486,4231,"S"
"CAT",2002,"F","Nat",4,741,9.19999980926514,3656,"S"
"CAT",2002,"F","Nat",4,750,10.3000001907349,4543,"S"
"CAT",2002,"F","Nat",4,749,9.60000038146973,4073,"S"
"CAT",2002,"F","Nat",4,630,5.59999990463257,1848,"S"
"CAT",2002,"F","Nat",5,855,14.3999996185303,5894,"S"
"CAT",2002,"F","Nat",5,910,19.2999992370605,6128,"S"
"CAT",2002,"F","Nat",5,870,14.8000001907349,5213,"S"
"CAT",2002,"F","Nat",5,823,13.6000003814697,5286,"S"
"CAT",2002,"F","Nat",5,871,16.1000003814697,5403,"S"
"CAT",2003,"F","Nat",4,737,4.40000009536743,3331,"S"
"CAT",2003,"F","Nat",4,704,4.01000022888184,2613,"S"
"CAT",2003,"F","Nat",4,694,3.85999989509583,2507,"S"
"CAT",2003,"F","Nat",4,718,NA,3353,"S"
"CAT",2003,"F","Nat",5,920,NA,3766,"S"
"CAT",2003,"F","Nat",5,840,NA,3529,"S"
"CAT",2003,"F","Nat",5,861,NA,4408,"S"
"CAT",2003,"F","Nat",5,900,6.3600001335144,884,"S"
"CAT",2003,"F","Nat",5,935,7.84000015258789,4098,"S"
"CAT",2003,"F","Nat",5,919,7.53999996185303,4619,"S"
"CAT",2003,"F","Nat",5,862,5.92000007629395,2807,"S"
"CAT",2003,"F","Nat",5,837,6.6100001335144,4068,"S"
"CAT",2003,"F","Nat",5,835,6.73999977111816,4238,"S"
"CAT",2003,"F","Nat",5,873,7.36999988555908,3920,"S"
"CAT",2003,"F","Nat",5,809,6.03999996185303,3752,"S"
"CAT",2003,"F","Nat",5,828,6.25,3885,"S"
"CAT",2003,"F","Nat",5,864,6.82000017166138,4290,"S"
"CAT",2003,"F","Nat",5,913,8.4399995803833,5008,"S"
"CAT",2003,"F","Nat",5,848,6.6399998664856,3711,"S"
"CAT",2003,"F","Nat",5,894,8.13000011444092,4631,"S"
"CAT",2003,"F","Nat",5,825,5.65000009536743,3239,"S"
"CAT",2003,"F","Nat",5,867,6.05999994277954,3835,"S"
"CAT",2003,"F","Nat",5,827,6.32000017166138,3998,"S"
"CAT",2003,"F","Nat",5,820,5.53000020980835,3820,"S"
"CAT",2003,"F","Nat",5,824,NA,3746,"S"
"CAT",2003,"F","Nat",5,885,7.03999996185303,4387,"S"
"CAT",2003,"F","Nat",5,860,6.48000001907349,3795,"S"
"CAT",2003,"F","Nat",5,865,6.90000009536743,3616,"S"
"CAT",2004,"F","Nat",4,768,4.69999980926514,3255,"S"
"CAT",2004,"F","Nat",4,714,3.90000009536743,3305,"S"
"CAT",2004,"F","Nat",4,724,3.59999990463257,2741,"S"
"CAT",2004,"F","Nat",4,700,3.70000004768372,1886,"S"
"CAT",2004,"F","Nat",4,720,3.90000009536743,2904,"S"
"CAT",2004,"F","Nat",4,733,4,3533,"S"
"CAT",2004,"F","Nat",4,651,2.59999990463257,2155,"S"
"CAT",2004,"F","Nat",4,668,3,3177,"S"
"CAT",2004,"F","Nat",4,705,3.5,3285,"S"
"CAT",2005,"F","Hat",4,669,3.09999990463257,4303,"S"
"CAT",2005,"F","Hat",4,744,4.30000019073486,3442,"S"
"CAT",2005,"F","Hat",4,720,3.70000004768372,3037,"S"
"CAT",2005,"F","Hat",4,662,2.79999995231628,2398,"S"
