"population","brood_year","release_year","program","lifestage","raceway","n_released","surv_est","surv_se","last_release_date"
"CAT",1986,1988,NA,"smolt",NA,151888,NA,NA,NA
"CAT",1987,1989,NA,"smolt",NA,83160,NA,NA,NA
"CAT",1988,1990,NA,"smolt",NA,70002,NA,NA,NA
"CAT",1998,2000,"captive","smolt","14",23593,NA,NA,2000-04-18
"CAT",1998,2000,"captive","smolt","17",12828,NA,NA,2000-04-18
"CAT",1998,2000,"captive","smolt","18",1561,NA,NA,2000-04-18
"CAT",1999,2001,"captive","smolt","09",23694,NA,NA,2001-04-16
"CAT",1999,2001,"captive","smolt","10",16651,NA,NA,2001-04-16
"CAT",1999,2001,"captive","smolt","11",20915,NA,NA,2001-04-16
"CAT",1999,2001,"captive","smolt","12",25497,NA,NA,2001-04-16
"CAT",1999,2001,"captive","smolt","13",25533,NA,NA,2001-04-16
"CAT",1999,2001,"captive","smolt","14",24530,NA,NA,2001-04-16
"CAT",2000,2002,"captive","smolt","04",75033,0.370149999856949,0.0119799999520183,2002-04-15
"CAT",2000,2002,"captive","smolt","05",49538,0.444628000259399,0.017017999663949,2002-04-15
"CAT",2000,2002,"captive","smolt","06",55769,0.405764013528824,0.0119359996169806,2002-04-15
"CAT",2001,2003,"captive","smolt","01",52989,0.359008222818375,0.0153846414759755,2003-03-23
"CAT",2001,2003,"captive","smolt","02",52303,0.374167442321777,0.0157494675368071,2003-03-23
"CAT",2001,2003,"conventional","smolt","03",24392,0.313975393772125,0.0111289611086249,2003-04-14
"CAT",2002,2004,"conventional","smolt","01",70072,0.310462892055511,0.00830473098903894,2004-04-12
"CAT",2002,2004,"captive","smolt","02",45412,0.263059616088867,0.00625275867059827,2004-03-22
"CAT",2002,2004,"captive","smolt","03",46384,0.248963639140129,0.0061400281265378,2004-03-22
"CAT",2003,2005,"conventional","smolt","01",61718,0.259158819913864,0.00574834225699306,2005-03-27
"CAT",2003,2005,"conventional","smolt","02",59036,0.263353437185287,0.00571963749825954,2005-04-07
"CAT",2003,2005,"captive","smolt","03",68827,0.173057481646538,0.00508573977276683,2005-03-14
"CAT",2004,2006,"captive","smolt","01",28823,0.300471365451813,0.0133545156568289,2006-04-12
"CAT",2004,2006,"conventional","smolt","02",23216,0.334701627492905,0.0124802216887474,2006-04-12
"CAT",2004,2006,"captive","smolt","03",16781,0.294391483068466,0.00960259325802326,2006-04-12
"CAT",2005,2007,"conventional","smolt","01",49696,0.343824774026871,0.00972489733248949,2007-04-11
"CAT",2005,2007,"captive","smolt","02",21574,0.332045584917068,0.0110358474776149,2007-04-11
"CAT",2006,2008,"conventional","smolt","01",58456,0.445809930562973,0.011635678820312,2008-04-14
"CAT",2006,2008,"conventional","smolt","02",58426,0.44648489356041,0.0107952719554305,2008-04-14
"CAT",2007,2009,"conventional","smolt","01",46786,0.379311680793762,0.0118076847866178,2009-04-13
"CAT",2007,2009,"conventional","smolt","02",46391,0.386883765459061,0.0110670244321227,2009-04-13
"CAT",2007,2009,"conventional","smolt","03",45667,0.337910711765289,0.00985652580857277,2009-04-13
"CAT",2008,2010,"conventional","smolt","01",71524,0.520489990711212,0.0334860011935234,2010-04-12
"CAT",2008,2010,"conventional","smolt","2A",38718,0.462313622236252,0.0437051057815552,2010-04-12
"CAT",2008,2010,"captive","smolt","2B",34111,0.31423220038414,0.0264068059623241,2010-04-12
"CAT",2009,2011,"conventional","smolt","01",58737,0.295280575752258,0.0136652635410428,2011-04-14
"CAT",2009,2011,"captive","smolt","02",48343,0.298288226127625,0.00970872584730387,2011-03-29
"CAT",2009,2011,"captive","smolt","03",48395,0.322299838066101,0.0114701548591256,2011-04-14
"CAT",2010,2012,"conventional","smolt","01",54098,0.375863462686539,0.0137295452877879,2012-04-14
"CAT",2010,2012,"conventional","smolt","02",52783,0.383385241031647,0.0118678975850344,2012-04-14
"CAT",2010,2012,"conventional","smolt","03",54492,0.278009325265884,0.0106180850416422,2012-04-16
"CAT",2011,2013,"conventional","smolt","01",44919,0.212503597140312,0.0100886113941669,2013-04-15
"CAT",2011,2013,"conventional","smolt","02",45160,0.235094979405403,0.0146818766370416,2013-04-15
"CAT",2011,2013,"conventional","smolt","03",44441,0.215387925505638,0.0110881291329861,2013-04-15
"CAT",2012,2014,"conventional","smolt","01",46337,0.259388208389282,0.00891072582453489,2014-04-15
"CAT",2012,2014,"conventional","smolt","02",46492,0.260596543550491,0.00935324840247631,2014-04-15
"CAT",2012,2014,"conventional","smolt","03",45541,0.282723188400269,0.0101859522983432,2014-04-15
"CAT",2013,2015,"conventional","smolt","02",72208,0.291794836521149,0.0256398636847734,2015-04-15
"CAT",2013,2015,"conventional","smolt","03",74102,0.246643558144569,0.0214414522051811,2015-04-15
"CAT",2014,2016,"conventional","smolt","01",81903,0.360303789377213,0.00701305735856295,2016-04-14
"CAT",2014,2016,"conventional","smolt","02",83836,0.380413144826889,0.00730255525559187,2016-04-14
"CAT",2015,2017,"conventional","smolt","02",76607,0.438635945320129,0.0185954757034779,2017-04-14
"CAT",2015,2017,"conventional","smolt","03",78821,0.401890307664871,0.0194013360887766,2017-04-14
"CAT",2016,2018,"conventional","smolt","02",61175,0.29474949836731,0.0111156357452273,2018-04-16
"CAT",2016,2018,"conventional","smolt","03",61226,0.333470553159714,0.0107453446835279,2018-04-16
"CAT",2017,2019,"conventional","smolt","02",68280,0.483592987060547,0.028669897466898,2019-04-19
"CAT",2017,2019,"conventional","smolt","03",68178,0.433272659778595,0.0226229894906282,2019-04-19
"LOS",1997,1999,"conventional","smolt","06",11870,NA,NA,1999-04-15
"LOS",1998,2000,"captive","smolt","11",19070,NA,NA,2000-04-18
"LOS",1998,2000,"captive","smolt","12",12682,NA,NA,2000-04-18
"LOS",1998,2000,"captive","smolt","15",3234,NA,NA,2000-04-18
"LOS",1999,2001,"captive","smolt","02",34124,NA,NA,2001-03-29
"LOS",1999,2001,"captive","smolt","03",19988,NA,NA,2001-03-29
"LOS",1999,2001,"captive","smolt","04",33824,NA,NA,2001-03-29
"LOS",1999,2001,"captive","smolt","05",14359,NA,NA,2001-03-29
"LOS",1999,2001,"captive","smolt","06",16306,NA,NA,2001-03-29
"LOS",1999,2001,"captive","smolt","07",15279,NA,NA,2001-03-29
"LOS",2000,2002,"captive","smolt","01",34851,0.693899989128113,0.0230420008301735,2002-04-14
"LOS",2000,2002,"captive","smolt","02",24070,0.669017016887665,0.00284500000998378,2002-04-14
"LOS",2000,2002,"captive","smolt","03",18391,0.518229007720947,0.0214239992201328,2002-04-14
